,e1,px1,py1,pz1,e2,px2,py2,pz2
86,47.114009324,27.179041333,33.823045756,17.746581716,65.968432614,-27.179041333,-33.823045756,49.467619606
87,99.447146069,-33.595997047,13.886130626,-92.445276893,37.536987987,33.595997047,-13.886130626,-8.0882523293
88,68.524099745,39.380776699,-11.331692272,-54.719369721,42.078935385,-39.380776699,11.331692272,-8.3243005706
89,44.454371134,-37.223745474,-22.353045528,8.296700633,43.753323529,37.223745474,22.353045528,2.6452690506
90,204.35973152,-17.930424529,-32.396048389,200.92238749,60.444251055,17.930424529,32.396048389,47.543805176
91,22.152894021,19.429244511,9.3453986264,1.9567053334,200.75192126,-19.429244511,-9.3453986264,199.53549026
92,1596.5716199,43.92599759,2.0066074219,-1595.9590621,879.65616866,-43.92599759,-2.0066074219,-878.54388924
93,60.352854914,31.819065166,5.095643422,-50.812976752,35.9399086,-31.819065166,-5.095643422,15.204227709
94,73.232694144,20.867875907,-39.63526455,57.745259986,81.669143106,-20.867875907,39.63526455,68.127354967
95,633.38207947,-29.857594716,5.8590389597,-632.63335693,85.126615727,29.857594716,-5.8590389597,-79.364012029
96,334.45453842,-0.31061873217,-43.285054308,331.60828677,168.27275231,0.31061873217,43.285054308,162.54210765
97,109.23883468,26.572990119,35.588332708,99.691422771,75.989602146,-26.572990119,-35.588332708,61.479072907
98,467.6933874,46.577611666,6.9922338484,465.29200442,379.76912949,-46.577611666,-6.9922338484,376.80782433
99,385.37154619,24.308450069,-32.920942464,-383.16373708,133.1191564,-24.308450069,32.920942464,-126.58566508
100,1230.4349207,-41.220297457,-17.565347617,-1229.6098363,1528.4048129,41.220297457,17.565347617,-1527.7406612
101,96.067384374,39.012300093,-16.728301583,86.05263917,174.06647222,-39.012300093,16.728301583,168.74611438
102,1571.6995114,14.585454041,27.387140801,1571.3861629,237.90797031,-14.585454041,-27.387140801,235.82900879
103,50.655685489,1.669623212,28.267475589,-41.738119921,41.569356479,-1.669623212,-28.267475589,30.067982644
104,10.618739965,2.8782029334,-9.008694677,1.1077032747,416.3001312,-2.8782029334,9.008694677,416.16615505
105,135.01112293,7.5237075195,-44.962839976,-126.99468556,131.45375722,-7.5237075195,44.962839976,-123.20607588
106,31.906563298,-11.290029937,-23.877751728,-17.272144568,71.827017294,11.290029937,23.877751728,66.628962245
107,614.54140658,-6.2822040303,12.167992437,614.37083612,23.341197021,6.2822040303,-12.167992437,18.308341022
108,1836.256908,-12.566709795,36.450781114,-1835.8460612,414.92956118,12.566709795,-36.450781114,-413.1075757
109,22.222055413,8.8155380141,-18.59685974,-6.9406659683,126.51132228,-8.8155380141,18.59685974,124.73759563
110,247.91144929,-35.336523358,-17.815498975,244.68742265,94.361213319,35.336523358,17.815498975,85.532956761
111,56.091374575,38.747243429,14.212487502,37.693615207,130.1347729,-38.747243429,-14.212487502,123.32731021
112,563.34628959,32.452036873,8.7994535803,562.32231586,113.30757777,-32.452036873,-8.7994535803,108.10158232
113,243.76061278,32.113435735,-6.9543940642,241.49018612,51.407896869,-32.113435735,6.9543940642,39.256152498
114,42.281014249,28.315894429,29.192968693,-10.562900526,76.483224853,-28.315894429,-29.192968693,-64.603207238
115,94.379117606,-2.6020452124,-22.377247743,-91.530410161,1221.900658,2.6020452124,22.377247743,-1221.6839264
116,50.438827183,25.069186206,-37.017204744,22.874609144,65.415898173,-25.069186206,37.017204744,47.522754442
117,246.66352112,18.124714475,31.102975625,-243.97725772,66.017859522,-18.124714475,-31.102975625,-55.139526733
118,89.870736922,24.729988917,-38.376686779,-77.267825871,94.107836592,-24.729988917,38.376686779,-82.15748577
119,138.39003945,20.611428921,-40.479415156,-130.63804562,105.17828855,-20.611428921,40.479415156,-94.746864483
120,49.638877458,14.697468648,43.158483525,-19.059325026,50.53052045,-14.697468648,-43.158483525,-21.27376817
121,83.16161508,12.788145976,42.130039202,70.393801872,55.908828668,-12.788145976,-42.130039202,34.135468979
122,308.94562504,11.850992869,-43.682132855,-305.57606985,359.11361334,-11.850992869,43.682132855,-356.21892499
123,500.83576607,5.2927306637,9.1871895721,-500.70146507,12.368391043,-5.2927306637,-9.1871895721,-4.2976327068
124,801.88043511,43.734206666,-1.2787360714,-800.67210906,469.03426623,-43.734206666,1.2787360714,-466.96545579
125,40.395036849,35.461032795,17.404193465,7.0198436557,77.83705765,-35.461032795,-17.404193465,66.903861971
126,175.42744845,-30.640902574,-34.012170839,169.28380606,182.72563946,30.640902574,34.012170839,176.8357335
127,32.776106892,10.948769412,-27.545130484,13.174726485,75.446522042,-10.948769412,27.545130484,-69.220502188
128,151.76260022,-17.410697466,-14.700800348,-149.96849972,23.266910863,17.410697466,14.700800348,0.11499555335
129,99.330892006,-7.2161912027,16.837610162,97.513884013,24.256800307,7.2161912027,-16.837610162,-15.1895961
130,46.856785979,-38.543023855,17.217158242,19.785680845,88.576233742,38.543023855,-17.217158242,77.728141352
131,45.399091488,-4.1460445626,9.2508834177,-44.002488321,42.977055602,4.1460445626,-9.2508834177,41.499021419
132,806.09014973,41.438376202,-17.541075065,804.8194898,687.18715318,-41.438376202,17.541075065,685.69619013
133,60.625588745,14.486707014,42.045329042,-40.935285956,50.806789335,-14.486707014,-42.045329042,-24.11566852
134,167.53140236,-5.809906473,-4.6597230224,167.29976911,11.987873456,5.809906473,4.6597230224,-8.1333313055
